,0,1,2,3
18,,FLA                                                            vs                                                    OKGGW,"17 мая, 20:00",
19,,S2VF                                                            vs                                                    FVG,"17 мая, 21:00",
0,,PUSH                                                            vs                                                    PS,"17 мая, 22:00",
1,,EQ                                                            vs                                                    FOX,"17 мая, 23:00",
2,,DR                                                            vs                                                    QLS,"18 мая, 00:00",
3,,TBD                                                            vs                                                    TBD,"18 мая, 00:00",
4,,LAM                                                            vs                                                    EUSA,"18 мая, 00:00",
5,,HTG                                                            vs                                                    DKS,"18 мая, 01:00",
6,,CMT                                                            vs                                                    TWS,"18 мая, 01:00",
7,,EUST                                                            vs                                                    SPW,"18 мая, 01:00",
8,,NERU                                                            vs                                                    OKGGB,"18 мая, 01:00",
9,,UDLP                                                            vs                                                    ABY,"18 мая, 01:00",
10,,UG                                                            vs                                                    UCAMA,"18 мая, 01:00",
11,,LFX                                                            vs                                                    TWS,"18 мая, 02:00",
12,,ARC                                                            vs                                                    EFY,"18 мая, 03:00",
13,,EUST                                                            vs                                                    NERU,"18 мая, 04:00",
14,,ANT                                                            vs                                                    GOAT,"18 мая, 07:00",
15,,DVE                                                            vs                                                    OG,"18 мая, 09:00",
16,,EUSA                                                            vs                                                    S2VA,"19 мая, 23:00",
17,,GIAA                                                            vs                                                    KBZ,"20 мая, 00:00",
18,,AQ                                                            vs                                                    MRSA,"20 мая, 01:00",
19,,KWK                                                            vs                                                    OGSB,"20 мая, 02:00",
0,,INTZ                                                            vs                                                    TBD,"20 мая, 04:00",
1,,TBD                                                            vs                                                    TBD,"21 мая, 14:00",
2,,DVE                                                            vs                                                    BST,"24 мая, 07:00",
3,,ANT                                                            vs                                                    TH,"24 мая, 09:00",
4,,FVG                                                            vs                                                    FOX,"24 мая, 20:00",
5,,FLA                                                            vs                                                    PUSH,"24 мая, 21:00",
6,,QLS                                                            vs                                                    S2VF,"24 мая, 22:00",
7,,OKGGW                                                            vs                                                    DR,"24 мая, 23:00",
8,,PS                                                            vs                                                    EQ,"25 мая, 00:00",
9,,LAM                                                            vs                                                    HTG,"25 мая, 00:00",
10,,DKS                                                            vs                                                    EUST,"25 мая, 01:00",
11,,ABY                                                            vs                                                    UG,"25 мая, 01:00",
12,,SPW                                                            vs                                                    OKGGB,"25 мая, 01:00",
13,,TWS                                                            vs                                                    NERU,"25 мая, 01:00",
14,,UCAMA                                                            vs                                                    EUST,"25 мая, 01:00",
15,,UDLP                                                            vs                                                    CMT,"25 мая, 01:00",
16,,EUSA                                                            vs                                                    LFX,"25 мая, 02:00",
17,,NERU                                                            vs                                                    ARC,"25 мая, 03:00",
18,,NOC                                                            vs                                                    OG,"25 мая, 07:00",
19,,ZWN                                                            vs                                                    MAD,"25 мая, 09:00",
0,,KBZ                                                            vs                                                    OGSB,"26 мая, 23:00",
1,,EUSA                                                            vs                                                    MRSA,"27 мая, 00:00",
2,,GIAA                                                            vs                                                    S2VA,"27 мая, 01:00",
3,,KWK                                                            vs                                                    AQ,"27 мая, 02:00",
4,,TWS                                                            vs                                                    EFY,"31 мая, 04:00",
5,,MAD                                                            vs                                                    TH,"31 мая, 07:00",
6,,BST                                                            vs                                                    NOC,"31 мая, 09:00",
7,,KEU                                                            vs                                                    NAU,"31 мая, 20:00",
8,,EUST                                                            vs                                                    LAM,"01 июня, 00:00",
9,,LFX                                                            vs                                                    HTG,"01 июня, 01:00",
10,,ARC                                                            vs                                                    TWS,"01 июня, 02:00",
11,,NERU                                                            vs                                                    DKS,"01 июня, 03:00",
12,,EFY                                                            vs                                                    EUSA,"01 июня, 04:00",
13,,ANT                                                            vs                                                    DVE,"01 июня, 07:00",
14,,PSK                                                            vs                                                    GOAT,"01 июня, 09:00",
15,,S2VA                                                            vs                                                    MRSA,"02 июня, 23:00",
16,,GIAA                                                            vs                                                    OGSB,"03 июня, 00:00",
17,,EUSA                                                            vs                                                    KWK,"03 июня, 01:00",
18,,KBZ                                                            vs                                                    AQ,"03 июня, 02:00",
19,,EUSA                                                            vs                                                    TWS,"04 июня, 00:00",
0,,DKS                                                            vs                                                    ARC,"04 июня, 01:00",
1,,HTG                                                            vs                                                    EFY,"04 июня, 02:00",
2,,LAM                                                            vs                                                    NERU,"04 июня, 03:00",
3,,LFX                                                            vs                                                    EUST,"04 июня, 04:00",
4,,PSK                                                            vs                                                    ZWN,"07 июня, 07:00",
5,,OG                                                            vs                                                    GOAT,"07 июня, 09:00",
6,,NERU                                                            vs                                                    LFX,"08 июня, 00:00",
7,,DKS                                                            vs                                                    LAM,"08 июня, 01:00",
8,,TWS                                                            vs                                                    HTG,"08 июня, 02:00",
9,,EFY                                                            vs                                                    EUST,"08 июня, 03:00",
10,,ARC                                                            vs                                                    EUSA,"08 июня, 04:00",
11,,MAD                                                            vs                                                    NOC,"08 июня, 07:00",
12,,BST                                                            vs                                                    TH,"08 июня, 09:00",
13,,OGSB                                                            vs                                                    AQ,"09 июня, 23:00",
14,,KBZ                                                            vs                                                    EUSA,"10 июня, 00:00",
15,,S2VA                                                            vs                                                    KWK,"10 июня, 01:00",
16,,GIAA                                                            vs                                                    MRSA,"10 июня, 02:00",
17,,MAD                                                            vs                                                    G2,"12 июня, 23:00",
18,,VIT                                                            vs                                                    S04,"13 июня, 00:00",
19,,OG                                                            vs                                                    SK,"13 июня, 01:00",
0,,RGE                                                            vs                                                    XL,"13 июня, 02:00",
1,,MSF                                                            vs                                                    FNC,"13 июня, 03:00",
2,,S04                                                            vs                                                    SK,"13 июня, 22:00",
