,0,1,2,3,4,5,6,7,8
2,/lol/lcl-2018-spring/season/gambit-esports-vs-just-62323,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,GMBсчетJust,"12 февраля, 2018, 01:58",
3,/lol/cls-2018-opening/season/hafnet-esports-vs-furious-gaming-81721,/media/flag/47.png,/media/flag/47.png,/lol/cls-2018-opening/season,/media/tournament/_60/e2047.png,,HAFсчетFG,"12 февраля, 2018, 01:00",
4,/lol/lcl-2018-spring/season/vaevictis-vs-m19-62322,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,VAEсчетM19,"12 февраля, 2018, 00:56",
5,/lol/cls-2018-opening/season/uc-esports-vs-dark-horse-81722,/media/flag/35.png,/media/flag/35.png,/lol/cls-2018-opening/season,/media/tournament/_60/e2047.png,,UCсчетDH,"11 февраля, 2018, 23:55",
6,/lol/lcl-2018-spring/season/rox-vs-gambit-esports-62321,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,RoXсчетGMB,"11 февраля, 2018, 23:47",
7,/lol/lcl-2018-spring/season/elements-pro-gaming-vs-m19-62320,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,EPGсчетM19,"11 февраля, 2018, 22:46",
8,/lol/cls-2018-opening/season/legatum-vs-rebirth-esports-81723,/media/flag/35.png,/media/flag/35.png,/lol/cls-2018-opening/season,/media/tournament/_60/e2047.png,,LGTсчетRBT,"11 февраля, 2018, 22:33",
9,/lol/tcl-2018-winter/season/hwa-gaming-vs-supermassive-61778,/media/flag/38.png,/media/flag/38.png,/lol/tcl-2018-winter/season,/media/tournament/_60/e1622.png,,HWAсчетSUP,"11 февраля, 2018, 21:39",
10,/lol/lcl-2018-spring/season/rox-vs-dragon-army-62319,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,RoXсчетDA,"11 февраля, 2018, 20:58",
11,/lol/tcl-2018-winter/season/royal-bandits-vs-dark-passage-61777,/media/flag/38.png,/media/flag/38.png,/lol/tcl-2018-winter/season,/media/tournament/_60/e1622.png,,RBEсчетDP,"11 февраля, 2018, 20:58",
12,/lol/tcl-2018-winter/season/fenerbahce-vs-galakticos-61776,/media/flag/38.png,/media/flag/38.png,/lol/tcl-2018-winter/season,/media/tournament/_60/e1622.png,,FBсчетGAL,"11 февраля, 2018, 19:46",
13,/lol/lcl-2018-spring/season/vega-squadron-vs-elements-pro-gaming-62318,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,VEGсчетEPG,"11 февраля, 2018, 19:41",
